"Advanced Reviews by Aheadworks","Advanced Reviews by Aheadworks"
"Reviews","Reviews"
"Customer Reviews","Customer Reviews"
"Submit Review","Submit Review"
"Review","Review"
"You're reviewing:","You're reviewing:"
"Your Rating","Your Rating"
"Nickname","Nickname"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Something went wrong while submitting the review.","Something went wrong while submitting the review."
"You submitted your review for moderation.","You submitted your review for moderation."
"Could not save review. %1","Could not save review. %1"
"Not specified","Not specified"
"Write a Review","Write a Review"
"Please <a href=""{login_url}"">sign in</a> or <a href=""{register_url}"">create an account</a> to write a review.","Please <a href=""{login_url}"">sign in</a> or <a href=""{register_url}"">create an account</a> to write a review."
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"No reviews here yet. Be the first to write one!","No reviews here yet. Be the first to write one!"
"No reviews here yet. Please <a href=""{login_url}"">sign in</a> or <a href=""{register_url}"">create an account</a> to write the first one!","No reviews here yet. Please <a href=""{login_url}"">sign in</a> or <a href=""{register_url}"">create an account</a> to write the first one!"
"Reviews %1","Reviews %1"
"My Product Reviews","My Product Reviews"
"Created","Created"
"You have submitted no reviews.","You have submitted no reviews."
"Product Name","Product Name"
"Rating","Rating"
"Summary","Summary"
"Status","Status"
"My Recent Reviews","My Recent Reviews"
"View All","View All"
"Sort by","Sort by"
"Newest","Newest"
"Do you recommend this product?","Do you recommend this product?"
"I recommend<br /> this product","I recommend<br /> this product"
"I don\'t recommend<br /> this product","I don\'t recommend<br /> this product"
"of customers<br/> recommend this product","of customers<br/> recommend this product"
"Verified Buyer","Verified Buyer"
"Yes","Yes"
"No","No"
"Set verified buyer badge","Set verified buyer badge"
"I recommend this product","I recommend this product"
"I don\'t recommend this product","I don\'t recommend this product"
"Helpfulness","Helpfulness"
"%1 out of %2 stars","%1 out of %2 stars"
"The review was successfully deleted.","The review was successfully deleted."
"Something went wrong while deleting the review.","Something went wrong while deleting the review."
"We can\'t rebuild the index for an undefined entity.","We can\'t rebuild the index for an undefined entity."
"Bad value was supplied.","Bad value was supplied."
"Created At can\'t be empty.","Created At can\'t be empty."
"Rating can\'t be empty.","Rating can\'t be empty."
"Nickname can\'t be empty.","Nickname can\'t be empty."
"Content can\'t be empty.","Content can\'t be empty."
"Store ID can\'t be empty.","Store ID can\'t be empty."
"Product ID can\'t be empty.","Product ID can\'t be empty."
"Status can\'t be empty.","Status can\'t be empty."
"Author Type can\'t be empty.","Author Type can\'t be empty."
"Votes Positive must contain only digits.","Votes Positive must contain only digits."
"Votes Negative must contain only digits.","Votes Negative must contain only digits."
"You need to select at least one store view to publish it on frontend.","You need to select at least one store view to publish it on frontend."
"We are sorry, you can\'t submit a review on the same product twice.","We are sorry, you can\'t submit a review on the same product twice."
"We are sorry, we can\'t publish an empty review.","We are sorry, we can\'t publish an empty review."
"Please get back to the email and specify the product which you were reviewed.","Please get back to the email and specify the product which you were reviewed."
"Please get back to the email and specify the rating of the product which you were reviewed","Please get back to the email and specify the rating of the product which you were reviewed"
"Please get back to the email and write a few words about the product!","Please get back to the email and write a few words about the product!"
"Pending","Pending"
"Sent","Sent"
"Canceled","Canceled"
"Failed","Failed"
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Back","Back"
"Something went wrong while editing the review.","Something went wrong while editing the review."
"New Review","New Review"
"Edit Review","Edit Review"
"Choose a product to review:","Choose a product to review:"
"How would you rate it:","How would you rate it:"
"Your nickname (as it will be displayed on our site):","Your nickname (as it will be displayed on our site):"
"Your review:","Your review:"
"Short summary:","Short summary:"
"Do you recommend this product?","Do you recommend this product?"
"Guest","Guest"
"Customer","Customer"
"Administrator","Administrator"
"Approved","Approved"
"Not Approved","Not Approved"
"Response from %1","Response from %1"
"The review was successfully saved.","The review was successfully saved."
"Something went wrong while saving the review.","Something went wrong while saving the review."
"No records were deleted.","No records were deleted."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"Delete","Delete"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Review Approved","Review Approved"
"Review Comment","Review Comment"
"Review Reminder","Review Reminder"
"Reset","Reset"
"Something went wrong. Please vote again later.","Something went wrong. Please vote again later."
"Thank you for voting!","Thank you for voting!"
"Something went wrong.","Something went wrong."
"Save","Save"
"Previous Page","Previous Page"
"Next Page","Next Page"
"Review your purchase on %store_name","Review your purchase on %store_name"
"Hello %customer_name.","Hello %customer_name."
"Thank you for your recent purchase from %store_name. Your opinion about the purchased product(s) would be greatly appreciated by other customers of our store.","Thank you for your recent purchase from %store_name. Your opinion about the purchased product(s) would be greatly appreciated by other customers of our store."
"Thank you very much for your feedback!","Thank you very much for your feedback!"
"New Review on %product_name","New Review on %product_name"
"There is a new review on %product_name.","There is a new review on %product_name."
"Review Summary:","Review Summary:"
"Review Rating:","Review Rating:"
"Review Content:","Review Content:"
"Dear, %customer_name.","Dear, %customer_name."
"Your review has been approved.","Your review has been approved."
"Thank you for your feedback!","Thank you for your feedback!"
"Someone has added a comment on your review","Someone has added a comment on your review"
"Someone has commented your review:","Someone has commented your review:"
"Was this review helpful?","Was this review helpful?"
"Add Your Review","Add Your Review"
"Be the first to review this product","Be the first to review this product"
"Submitted From","Submitted From"
"Select Product","Select Product"
"Cancel","Cancel"
"Add Selected Product","Add Selected Product"
"Review Details","Review Details"
"Product","Product"
"Author","Author"
"Created At","Created At"
"Summary of Review","Summary of Review"
"Display review on selected store views","Display review on selected store views"
"Admin Comment","Admin Comment"
"Votes Positive","Votes Positive"
"Votes Negative","Votes Negative"
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Change Status","Change Status"
"Update recommendation","Update recommendation"
"All Store Views","All Store Views"
"ID","ID"
"SKU","SKU"
"Edit","Edit"
"Go To Product","Go To Product"
"Go To Customer","Go To Customer"
"Aheadworks Advanced Reviews","Aheadworks Advanced Reviews"
"Index of reviews statistics","Index of reviews statistics"
"Store View","Store View"
"Name","Name"
"Type","Type"
"Visibility","Visibility"
"Websites","Websites"
"Review Content","Review Content"
"Settings","Settings"
"Readme","Readme"
"Get Support","Get Support"
"Advanced Reviews","Advanced Reviews"
"General","General"
"Email Notification Settings","Email Notification Settings"
"Admin Comment Caption","Admin Comment Caption"
"Sender","Sender"
"Enable Review Reminder Notifications","Enable Review Reminder Notifications"
"Send Review Reminder Notifications After Day(s)","Send Review Reminder Notifications After Day(s)"
"Email Template For Customer Review Reminder","Email Template For Customer Review Reminder"
"Email Address For Admin Notifications","Email Address For Admin Notifications"
"Email Template For Admin Notifications","Email Template For Admin Notifications"
"Review Summary","Review Summary"
"I don't recommend this product","I don't recommend this product"
"Product Reviews","Product Reviews"
"Read more","Read more"
"Read less","Read less"
"Author Type","Author Type"
"This will be used by default as "From" in outgoing emails","This will be used by default as "From" in outgoing emails"
"Leave empty to disable admin notifications","Leave empty to disable admin notifications"
"All Customer Reviews","All Customer Reviews"
"Product","Product"
"Request Path To Page With All Reviews","Request Path To Page With All Reviews"
"For example, ""reviews"" makes the page accessible at domain.com/reviews/","For example, ""reviews"" makes the page accessible at domain.com/reviews/"
"Enable Captcha","Enable Captcha"
"Allow Customer to Attach Files","Allow Customer to Attach Files"
"Max Upload File Size (Mb)","Max Upload File Size (Mb)"
"Allow File Extensions","Allow File Extensions"
"Type can\'t be empty.","Type can\'t be empty."
"Review ID can\'t be empty.","Review ID can\'t be empty."
"Add Comment","Add Comment"
"Something went wrong. Please try again later.","Something went wrong. Please try again later."
"You submitted your comment for moderation.","You submitted your comment for moderation."
"Comments Qty","Comments Qty"
"New Comments Qty","New Comments Qty"
"Auto Approve Reviews","Auto Approve Reviews"
"Auto Approve Comments","Auto Approve Comments"
"Thank you for your comment.","Thank you for your comment."
"Thank you for your review.","Thank you for your review."
"Approve","Approve"
"Disapprove","Disapprove"
"Comment","Comment"
"Comments","Comments"
"No records were changed.","No records were changed."
"Something went wrong while changing status.","Something went wrong while changing status."
"The comment was approved successfully.","The comment was approved successfully."
"The comment was disapproved successfully.","The comment was disapproved successfully."
"Something went wrong while deleting the comment.","Something went wrong while deleting the comment."
"The comment was deleted successfully.","The comment was deleted successfully."
"Visitor","Visitor"
"Review Widget by Aheadworks","Review Widget by Aheadworks"
"Content of a Certain Review","Content of a Certain Review"
"Review ID","Review ID"
"Review Widget Default Template","Review Widget Default Template"
"Review Content Height","Review Content Height"
"Review by %1","Review by %1"
"Read other reviews","Read other reviews"
"Template","Template"
"Processed","Processed"
"Review","Review"
"Entity Type can't be empty.","Entity Type can't be empty."
"Entity ID can\'t be empty.","Entity ID can\'t be empty."
"Unknown Status value.","Unknown Status value."
"Unknown Entity Type value.","Unknown Entity Type value."
"Specified review with does not exist.","Specified review with does not exist."
"Specified comment with does not exist.","Specified comment with does not exist."
"Abuse Reported","Abuse Reported"
"Ignore Abuse Reports","Ignore Abuse Reports"
"Abuse reports marked as moderated for selected comments.","Abuse reports marked as moderated for selected comments."
"Save & Ignore All Abuse Reports","Save & Ignore All Abuse Reports"
"This review was reported as abusive. You can edit the text of review or disable it completely and then click ""Save"" button. After saving the review will be considered as moderated and this message will not appear unless someone will report it again.","This review was reported as abusive. You can edit the text of review or disable it completely and then click ""Save"" button. After saving the review will be considered as moderated and this message will not appear unless someone will report it again."
"One or more comments in this review was reported as abusive. Sort the comments grid by ""Abuse Reported"" column to find them. Then, you can disapprove it or disable completely using actions listed in the action column. If you choose ""Ignore"" action, the comment will be considered as moderated and this message will not appear unless someone will report it again.","One or more comments in this review was reported as abusive. Sort the comments grid by ""Abuse Reported"" column to find them. Then, you can disapprove it or disable completely using actions listed in the action column. If you choose ""Ignore"" action, the comment will be considered as moderated and this message will not appear unless someone will report it again."
"Abuse report for comment was ignored.","Abuse report for comment was ignored."
"Something went wrong while editing the comment.","Something went wrong while editing the comment."
"Email Address to Send Abuse Reports","Email Address to Send Abuse Reports"
"Email Template For Abuse Report","Email Template For Abuse Report"
"Thank you for your report. We will check it as soon as possible.","Thank you for your report. We will check it as soon as possible."
"Hello!","Hello!"
"Someone has reported abuse on the following %report_type:","Someone has reported abuse on the following %report_type:"
"Note, The review may also contain some images which may be the reason for the report.","Note, The review may also contain some images which may be the reason for the report."
"Here is a link to the review: <a href="%url">to the review</a>.","Here is a link to the review: <a href="%url">to the review</a>."
"Show only reviews with attachments","Show only reviews with attachments"
"Critical Reviews","Critical Reviews"
"Positive Reviews","Positive Reviews"
"I Confirm","I Confirm"
"Please confirm that you want to report abuse.","Please confirm that you want to report abuse."
"Email Address For Critical Review Alert","Email Address For Critical Review Alert"
"Email Template Of Critical Review Alert","Email Template Of Critical Review Alert"
"Meta Description For All Reviews Page","Meta Description For All Reviews Page"
"Read product reviews by real customers","Read product reviews by real customers"
"A real photo","A real photo"
" of %1"," of %1"
"by %1","by %1"
"Guests must specify their email to submit review","Guests must specify their email to submit review"
"Email","Email"
"(will not be published)","(will not be published)"
"Enable Pros & Cons","Enable Pros & Cons"
"Adds two extra fields: ""Advantages"" and ""Disadvantages""","Adds two extra fields: ""Advantages"" and ""Disadvantages"""
"Advantages","Advantages"
"Disadvantages","Disadvantages"
"Share your thoughts about the product","Share your thoughts about the product"
"Tell others what you like about the product","Tell others what you like about the product"
"Tell others what you don\'t like about the product","Tell others what you don\'t like about the product"
"Add any other thoughts which you want to share with others","Add any other thoughts which you want to share with others"
"Your comment:","Your comment:"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Who must accept Terms and Conditions","Who must accept Terms and Conditions"
"Everyone","Everyone"
"Guests only","Guests only"
"The items you purchased may be found here:","The items you purchased may be found here:"
"We’d appreciate it if you found the time to leave a review and we hope that you choose %1 for your future purchases!","We’d appreciate it if you found the time to leave a review and we hope that you choose %1 for your future purchases!"
"New Comment on %product_name","New Comment on %product_name"
"There is a new comment on ","There is a new comment on "
"Comment Content:","Comment Content:"
"Subscriber already exists","Subscriber already exists"
"Review Notifications","Review Notifications"
"You will receive notifications","You will receive notifications"
"You will not receive notifications","You will not receive notifications"
"Remind me to write a review after a purchase","Remind me to write a review after a purchase"
"Notify me when a review was approved","Notify me when a review was approved"
"Notify me about a new comment on my review","Notify me about a new comment on my review"
"Notifications","Notifications"
"You saved your notifications settings.","You saved your notifications settings."
"Something went wrong while saving settings.","Something went wrong while saving settings."
"Unsubscribe from notifications","Unsubscribe from notifications"
"Reviews Notifications","Reviews Notifications"
"Please accept Terms and Conditions.","Please accept Terms and Conditions."
"Unsubscribe link has already expired.","Unsubscribe link has already expired."
"Featured review(s)","Featured review(s)"
"Featured","Featured"
"Mail Log","Mail Log"
"Recipient Name","Recipient Name"
"Recipient Email","Recipient Email"
"Type of the notification","Type of the notification"
"Review Abuse Report for Admin","Review Abuse Report for Admin"
"Comment Abuse Report for Admin","Comment Abuse Report for Admin"
"Critical Review Alert","Critical Review Alert"
"Scheduled For","Scheduled For"
"Sent At","Sent At"
"Send Now","Send Now"
"Cancel","Cancel"
"Something went wrong while sending the email.","Something went wrong while sending the email."
"Email was successfully sent.","Email was successfully sent."
"Email was successfully cancelled.","Email was successfully cancelled."
"Something went wrong while cancelling the email.","Something went wrong while cancelling the email."
"This email can not be sent.","This email can not be sent."
"Are you sure you want to send email immediately?","Are you sure you want to send email immediately?"
"Cancel Email","Cancel Email"
"Send Email","Send Email"
"Are you sure you want to cancel email? Click 'OK' to proceed.","Are you sure you want to cancel email? Click 'OK' to proceed."
"Send Emails","Send Emails"
"Are you sure you want to send selected emails?","Are you sure you want to send selected emails?"
"Cancel Emails","Cancel Emails"
"Are you sure you want to cancel selected emails? Click 'OK' to proceed.","Are you sure you want to cancel selected emails? Click 'OK' to proceed."
"A total of %1 email(s) have been updated","A total of %1 email(s) have been updated"
"New Review Comment for Admin","New Review Comment for Admin"
"Review (Comment)","Review (Comment)"
"This product already has {count} of {limit} possible featured review(s).","This product already has {count} of {limit} possible featured review(s)."
"Approve Review","Approve Review"
"Are you sure you want to approve review?","Are you sure you want to approve review?"
"The review was successfully approved.","The review was successfully approved."
"Something went wrong while approving the review.","Something went wrong while approving the review."
"Review validation error occurred","Review validation error occurred"